STA,lat,lon,n_arrivals
SHI,29.6418,52.5133,6040
IRAM,31.8088,52.3815,4816
KLNJ,31.0084,51.5921,4274
IZEF,32.8956,52.3291,3481
IMEH,31.3902,54.6130,3421
DSBU,28.3625,51.2602,3246
ASHO,24.6839,56.0583,2827
KAZ2,29.6128,51.6620,2625
IKLH,33.3190,51.5787,2477
JHRM,28.5053,53.5771,2413
UOSS,24.9453,56.2042,2325
HATD,24.8257,56.1321,2290
NAZ,24.9884,55.6618,2181
IPIR,32.6841,50.8917,2179
IKAZ,29.7796,51.8400,2131
ASUD,24.6260,55.3292,2061
ISAD,31.9136,53.6855,2015
WSAR,23.2390,58.6307,1944
GHIR,28.2855,52.9867,1930
MDH,25.2987,56.2983,1845
SHME,26.0497,56.1414,1815
MKAR,46.7937,82.2904,1769
LMD1,27.3398,53.1646,1728
BANOM,25.9233,56.2996,1688
IPAR,29.8419,53.0485,1661
IGAR,32.4038,52.0418,1620
ICHK,32.2442,54.4073,1614
ZALV,53.9481,84.8188,1598
ISRV,29.3817,53.1133,1593
BRTR,39.7250,33.6390,1536
ZNGN,32.1174,50.8542,1535
SOHO,24.1342,56.5336,1526
IBAF,31.5902,55.5673,1503
FINES,61.4436,26.0771,1471
AAK,42.6375,74.4942,1455
ALNE,24.0561,55.7509,1436
KHGB,30.3755,56.4768,1418
KRBR,29.9822,56.7605,1415
AHBU,28.8640,51.2950,1391
IBRJ,31.9080,51.2600,1381
QIR1,28.4764,53.0442,1343
JHBN,32.2312,50.6657,1336
FAQ,24.7453,55.5924,1328
YZKH,32.3901,54.5916,1229
TORD,13.1477,1.6947,1219
MSFE,25.3596,56.1595,1198
HOQ,23.5824,57.3109,1151
BVAR,53.0249,70.3885,1143
MLR,45.4909,25.9450,1125
NGRK,29.6440,56.7304,1091
ANAR,33.1897,53.7288,1066
SMDO,23.0589,58.0492,1053
NOA,61.0397,11.2148,1034
CLL,51.3077,13.0026,1013
ARCES,69.5349,25.5058,1008
KIV,43.9553,42.6863,997
BSY,22.7446,57.1995,995
DBIC,6.6701,-4.8563,991
ARQ,23.3366,56.5219,991
AKASG,50.7012,29.2242,977
KRSH,33.9693,52.1354,975
RAYN,23.5225,45.5032,953
AKTO,50.4348,58.0164,943
CHMN,29.8608,57.5396,942
MZR,23.0024,53.4794,920
KURBB,50.6226,78.5304,915
MNK,54.5021,27.8833,896
YKA,62.4932,-114.6053,883
KURK,50.7154,78.6202,866
KHMZ,33.7390,49.9590,827
EIL,29.6699,34.9512,822
KAZ1,29.6252,51.6395,810
TAFT,31.7228,54.1711,801
MHTO,20.9865,57.9680,797
KBZ,43.7286,42.8975,795
ASF,32.1730,36.8473,783
NASN,32.7990,52.8080,771
MASF,25.3712,56.1592,770
KKAR,43.1034,70.5115,767
